# Constructed from biom file
#OTU ID	Sub004.2P.H06	Sub002.2P.H06	Sub007.2P.H06	Sub012.2P.H06	Sub015.2P.H06	Sub017.2P-2.H10	Sub001.2P.H06	Sub013.2P.H06	Sub005.2P.H06	Sub014.2P.H06	Sub020.2P-2.H10	Sub019.2P-2.H10	Sub022.2P.H06	Sub024.2P.H06	Sub023.2P.H06	Sub025.2P.H06	Sub016.2P.H06	Sub028.2P.H06
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	29.0	14.0	9.0	13.0	24.0	37.0	2.0	32.0	5.0	4.0	11.0	0.0	8.0	0.0	0.0	27.0	28.0	8.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	0.0	0.0	27.0	29.0	118.0	24.0	13.0	2.0	8.0	28.0	39.0	0.0	148.0	85.0	85.0	21.0	0.0	28.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	433.0	293.0	165.0	91.0	242.0	123.0	321.0	243.0	33.0	50.0	343.0	229.0	194.0	240.0	171.0	60.0	182.0	87.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	16.0	3.0	32.0	6.0	14.0	2.0	0.0	15.0	0.0	1.0	0.0	21.0	0.0	18.0	15.0	19.0	0.0	11.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister	0.0	0.0	4.0	5.0	0.0	5.0	0.0	0.0	2.0	32.0	3.0	0.0	0.0	0.0	21.0	44.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	97.0	113.0	106.0	18.0	95.0	0.0	27.0	165.0	7.0	7.0	92.0	127.0	14.0	69.0	119.0	16.0	0.0	38.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	35.0	0.0	0.0	0.0	5.0	0.0	13.0	14.0	56.0	0.0	0.0	7.0	0.0	13.0	0.0	0.0	7.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	0.0	82.0	39.0	0.0	7.0	0.0	26.0	10.0	23.0	14.0	21.0	14.0	23.0	62.0	31.0	7.0	0.0	70.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	694.0	595.0	606.0	665.0	598.0	733.0	394.0	782.0	17.0	208.0	755.0	394.0	429.0	665.0	413.0	150.0	1098.0	154.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	45.0	68.0	28.0	19.0	93.0	61.0	27.0	53.0	27.0	25.0	42.0	25.0	17.0	33.0	17.0	40.0	281.0	12.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	4.0	1.0	0.0	4.0	0.0	6.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1220.0	1440.0	1.0	795.0	731.0	0.0	0.0	1529.0	0.0	1322.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	1.0	5.0	0.0	9.0	61.0	12.0	0.0	0.0	4.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	4.0	2.0	0.0	7.0	0.0	14.0	0.0	1.0	1.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
